data,liczba_wzmianek,sredni_tone
2017-12-17,1458.0,-0.9253123314682644
2017-12-18,4077.0,-0.7506129817002167
2017-12-19,5730.0,-2.099733489059403
2017-12-20,5088.0,-1.6181944130239465
2017-12-21,4650.0,-0.9911454340029492
2017-12-22,6033.0,-1.1754112731266608
2017-12-23,2334.0,-1.280017142864537
2017-12-24,1590.0,-1.3216979245796685
2017-12-25,1260.0,-1.0630183077626953
2017-12-26,3000.0,-0.8203833116438264
2017-12-27,3801.0,-0.7550280662416852
2017-12-28,4881.0,-1.355279259416948
2017-12-29,4251.0,-1.47107302452394
2017-12-30,1680.0,-1.2526247730263327
2017-12-31,1254.0,-1.1612507471216684
2018-01-01,1476.0,-1.0726223902167566
2018-01-02,3921.0,-0.8616437221042395
2018-01-03,4053.0,-0.5162189577164737
2018-01-04,3780.0,-0.814414194739976
2018-01-05,2898.0,-0.6908870746579782
2018-01-06,1536.0,-0.9398129847643619
2018-03-17,646.0,-1.0021337937881825
2018-03-18,630.0,-0.8309674871595031
2018-03-19,2622.0,-1.5374541815723883
2018-03-20,2094.0,-1.4379993835740825
2018-03-21,1832.0,-0.8915644776970177
2018-03-22,2006.0,-0.7707714452866635
2018-03-23,2362.0,-1.3385470669482897
2018-03-24,656.0,-0.7859287218672834
2018-03-25,532.0,-0.7271644332641393
2018-03-26,1586.0,-1.2768080052891928
2018-03-27,1792.0,-0.9894024320088537
2018-03-28,2014.0,-0.8889610242972477
2018-03-29,1828.0,-0.8388914698673527
2018-03-30,1108.0,-0.8391226584063189
2018-03-31,644.0,-0.7853511856244018
2018-04-01,562.0,-1.7097258871898091
2018-04-02,1172.0,-0.9688026975022159
2018-04-03,1740.0,-1.3909280794967063
2018-04-04,1496.0,-0.9838932870109356
2018-04-05,1716.0,-0.9977753919838339
2018-04-06,1828.0,-1.379751445464854
2018-04-07,700.0,-1.1146310329959335
2018-04-08,648.0,-1.1852000006161072
2018-04-09,1590.0,-0.6150978046050194
2018-04-10,1670.0,-1.395019784882746
2018-04-11,1396.0,-0.4522148769443061
2018-04-12,1766.0,-0.9060421938354672
2018-04-13,1844.0,-1.383170836702398
2018-04-14,714.0,-1.0374406980288131
2018-04-15,624.0,-0.7942362709045132
2018-04-16,1184.0,-0.49793167770493685
2018-04-17,1956.0,-1.0018927100576336
2018-04-18,2340.0,-1.2940287885155282
2018-04-19,1922.0,-1.047565115227131
2018-04-20,1468.0,-0.6471923618050874
2018-04-21,778.0,-0.9371616323833577
2018-04-22,680.0,-0.7180470151261702
2018-04-23,1616.0,-1.5498627681499197
2018-04-24,1968.0,-0.5258968224951724
2018-04-25,1814.0,-0.5385977587040565
2018-04-26,1566.0,-0.05355662455243902
2018-04-27,1190.0,-0.31433798842216876
2018-04-28,688.0,-0.19122212852521325
2018-04-29,508.0,-0.17544300490191442
2018-04-30,1228.0,-0.2685248173757002
2018-05-01,1346.0,-0.2578620380719605
2018-05-02,1278.0,-0.22242080443811876
2018-05-03,1316.0,0.23809193656888303
2018-05-04,1254.0,-0.22917084111585193
2018-05-05,826.0,-0.37783271292521636
2018-05-06,690.0,-0.3463547715039092
2018-05-07,1384.0,-0.3380679107441434
2018-05-08,1486.0,-0.23193497197224539
2018-05-09,1390.0,0.17981215159257474
2018-05-10,1318.0,0.43877241729493566
2018-05-11,1540.0,-0.5241619712299093
2018-05-12,776.0,-0.45717779652119894
2018-05-13,610.0,0.010435569312266918
2018-05-14,1674.0,-0.20389930961516772
2018-05-15,1528.0,-0.30420803429562376
2018-05-16,1768.0,0.08153400429123903
2018-06-18,773.0,-0.1607341248271985
2018-06-19,803.0,-0.2809129558060699
2018-06-20,1055.0,-1.7712357343926068
2018-06-21,728.0,-0.05920763704296601
2018-06-22,900.0,-0.7390739651737185
2018-06-23,339.0,-0.9606166037140393
2018-06-24,307.0,-0.5860028899652315
2018-06-25,765.0,-0.7035250080471518
2018-06-26,839.0,-0.30474064321885286
2018-06-27,800.0,-0.8295933919759781
2018-06-28,976.0,-0.9836174492781772
2018-06-29,1026.0,-1.0248437510628907
2018-06-30,336.0,-0.739874446286669
2018-07-01,321.0,0.11220009421577777
2018-07-02,577.0,0.35804478297993514
2018-07-03,625.0,-0.07765374935164386
2018-07-04,467.0,-0.6007787736113527
2018-07-05,603.0,-0.41891248396805825
2018-07-06,617.0,-0.40642889021118495
2018-07-07,319.0,-0.13050128234349373
2018-07-08,253.0,-0.08896565943150923
2018-07-09,553.0,-0.03660930769178414
2018-07-10,578.0,-0.3107899600226983
2018-07-11,737.0,0.01715838200470822
2018-07-12,690.0,0.06764561718527255
2018-07-13,763.0,-1.3794815838236214
2018-07-14,406.0,-2.288665485005478
2018-07-15,175.0,-1.0035199154778962
2018-07-16,657.0,-0.8444932836209179
2018-07-17,618.0,-0.6568975861851263
2018-07-18,573.0,-0.246729392615151
2018-07-19,566.0,-0.3471335612173555
2018-07-20,516.0,-0.45154767915048183
2018-07-21,235.0,-0.24374543657143233
2018-07-22,208.0,-0.5001706408078517
2018-07-23,435.0,-0.2580262738879636
2018-07-24,632.0,-0.23237696774365948
2018-07-25,663.0,-0.46120687012726386
2018-07-26,665.0,-0.6936869760083426
2018-07-27,485.0,-0.5252048682321288
2018-07-28,347.0,0.14179583130318119
2018-07-29,190.0,-0.40943043497026677
2018-07-30,639.0,-1.0786033832329536
2018-07-31,808.0,-1.6619472833682376
2018-08-01,626.0,-0.37851853245579814
2018-08-02,617.0,-0.34236691724473445
2018-08-03,658.0,0.10817928707986073
2018-08-04,347.0,0.3597711197520352
2018-08-05,323.0,0.7176295939888301
2018-08-06,556.0,0.09039951083266207
2018-08-07,678.0,0.3308173717445007
2018-08-08,549.0,0.17328935199928674
2018-08-09,695.0,0.5030151444786153
2018-08-10,663.0,0.04554078214004626
2018-08-11,314.0,-0.34742529545350004
2018-08-12,245.0,0.08096311452156303
2018-08-13,502.0,-0.1790538902980428
2018-08-14,600.0,-0.20707424412468078
2018-08-15,458.0,-0.6230197626713037
2018-08-16,489.0,-0.1989850641055933
2018-08-17,408.0,-0.27246449961810965
2018-08-18,297.0,-1.6456802618732878
2018-08-19,261.0,-2.6308187526723126
2018-08-20,646.0,-2.209136298141023
2018-08-21,579.0,-1.8299030909103426
2018-08-22,515.0,-1.0980170564071314
2018-08-23,524.0,-1.06995033342858
2018-08-24,402.0,-0.7901348917697898
2018-10-30,878.0,0.008306990851844474
2018-10-31,1038.0,-0.3045823083621692
2018-11-01,890.0,0.020076846123277137
2018-11-02,824.0,0.38824770623781385
2018-11-03,492.0,-1.5054141349010015
2018-11-04,314.0,-0.30740633238009685
2018-11-05,678.0,0.13267281988267882
2018-11-06,846.0,-0.23349550203787137
2018-11-07,712.0,0.034096215651499555
2018-11-08,906.0,0.17877844084600084
2018-11-09,774.0,-0.7914299567089706
2018-11-10,344.0,-0.8378971639911207
2018-11-11,292.0,-0.5012186501513349
2018-11-12,754.0,-0.27246022605156356
2018-11-13,1026.0,-0.8710577348111354
2018-11-14,1014.0,-0.7047799672530497
2018-11-15,928.0,-0.6413611102463558
2018-11-16,1136.0,-1.5698888383939233
2018-11-17,438.0,-0.6719910980941337
2018-11-18,310.0,-0.8357690687563024
2018-11-19,974.0,-1.6102268711649006
2018-11-20,1068.0,-1.2629942855548466
2018-11-21,910.0,-1.3317447169939336
2018-11-22,700.0,-0.6404246101340815
2018-11-23,652.0,-1.3465624892030572
2018-11-24,410.0,-0.7237220199126113
2018-11-25,362.0,-0.7080261842432868
2018-11-26,1162.0,-1.0496776295525643
2018-11-27,1094.0,-0.8802969093778457
2018-11-28,1146.0,-1.7437814722344351
2018-11-29,992.0,-1.6126017226392864
2018-11-30,856.0,-1.1690968684619873
2018-12-01,414.0,-0.665122203306867
2018-12-02,272.0,-0.3949691647227769
2018-12-03,730.0,-0.31561496462355687
2018-12-04,742.0,-0.45577590168617593
2018-12-05,712.0,-0.07187682866029357
2018-12-06,720.0,-0.29115515945562503
2018-12-07,872.0,-1.1254765031400675
2018-12-08,298.0,-0.6687095428806257
2018-12-09,280.0,-0.2205217492381879
2018-12-10,560.0,-0.30540233598273586
2018-12-11,632.0,-0.02218779184426946
2018-12-12,756.0,-0.5256995407262417
2018-12-13,1450.0,-2.8444972232321506
2018-12-14,2106.0,-3.9229038819014015
2018-12-15,442.0,-2.510436159053973
2018-12-16,328.0,-0.7352362739257573
2018-12-17,624.0,-1.2107013297528912
2018-12-18,626.0,-0.25616481480737574
2018-12-19,740.0,-0.34845636230926685
2018-12-20,728.0,-0.626053914612347
2018-12-21,748.0,-0.5558824506390774
2018-12-22,332.0,-0.41346701479847153
2018-12-23,248.0,-0.31654511622263276
2018-12-24,498.0,-0.01992834789721554
2018-12-25,198.0,-0.7531874138261022
2018-12-26,458.0,-1.3252353611311456
2018-12-27,628.0,-1.8954235549439322
2018-12-28,688.0,-1.5921797271890505
2018-12-29,310.0,-1.1067530353309383
2018-12-30,116.0,-0.9037192526648203
2018-12-31,251.0,-0.31680529570465626
2019-01-01,164.0,-1.0403854216772364
2019-01-02,283.0,-1.025347078426699
2019-01-03,352.0,-1.1872964891092275
2019-01-04,293.0,-0.8623205721378808
2019-01-05,140.0,-1.0109403491079914
2019-01-06,114.0,-0.5274141408705675
2019-01-07,278.0,-0.1863951296218211
2019-01-08,394.0,-0.2963870600619856
2019-01-09,493.0,-1.4726090132403828
2019-01-10,331.0,-1.0580107575118287
2019-01-11,300.0,-0.7442296189204568
2019-01-12,187.0,-0.6225825601299748
2019-01-13,129.0,-0.8245641305153505
2019-01-14,335.0,-0.5678368923422238
2019-01-15,393.0,-0.3946357160971479
2019-01-16,342.0,-0.7745366834091589
2019-01-17,343.0,-0.8792583807767496
2019-03-04,912.0,-0.2299179693162121
2019-03-05,1005.0,-0.23634209741560655
2019-03-06,969.0,-0.07803292462424531
2019-03-07,1179.0,-0.032304650914402544
2019-03-08,1011.0,-0.979537515702777
2019-03-09,540.0,-1.2733096769543024
2019-03-10,357.0,-1.0642880872751697
2019-03-11,1194.0,-0.3217498794433047
2019-03-12,1230.0,-0.7608942342423914
2019-03-13,1068.0,-1.1177580113718244
2019-03-14,945.0,-0.8080547694213759
2019-03-15,1266.0,-1.992024902700492
2019-03-16,651.0,-2.0104178734339118
2019-03-17,630.0,-2.650451813223776
2019-03-18,954.0,-0.17526397563499863
2019-03-19,1206.0,-0.283251777324972
2019-03-20,1146.0,0.3962597002836081
2019-03-21,957.0,0.0780605918594601
2019-03-22,807.0,-0.150129568748825
2019-03-23,552.0,-1.760671466884341
2019-03-24,447.0,-0.6734256930772937
2019-03-25,825.0,-0.3319452362546792
2019-03-26,843.0,-0.3039938743889145
2019-03-27,1047.0,-0.6539783029867678
2019-03-28,894.0,-0.36897812488331055
2019-03-29,915.0,-1.0428308171777882
2019-03-30,537.0,-0.8991793615267663
2019-03-31,459.0,-0.589212240688287
2019-04-01,756.0,-0.12708857466796308
2019-04-02,1455.0,-0.183149936682044
2019-04-03,1284.0,-0.43997984472604396
2019-04-04,1137.0,-0.277839013100222
2019-04-05,858.0,-0.4380900404082492
2019-04-06,567.0,-0.638686042173234
2019-04-07,402.0,-0.6885134580852893
2019-04-08,846.0,-0.1330122075592492
2019-04-09,1290.0,-0.9353623918682321
2019-04-10,1143.0,-0.23139493315675544
2019-04-11,933.0,-0.3811252602926675
2019-04-12,957.0,-0.3956090479666643
2019-04-13,372.0,-0.5690968435632641
2019-04-14,339.0,-0.03318245880380008
2019-04-15,774.0,-0.33999929240811566
2019-04-16,981.0,-0.27150613436400944
2019-04-17,1194.0,-0.7263710506561808
2019-04-18,1167.0,-0.24912660167543996
2019-04-19,942.0,-0.6767501281985817
2019-04-20,462.0,-0.7946402637175228
2019-04-21,438.0,-0.9265376617025399
2019-04-22,714.0,-0.9100379149657665
2019-04-23,1023.0,-0.4685769022490627
2019-04-24,1182.0,0.0158994973982743
2019-04-25,804.0,-0.27660450829681604
2019-04-26,1056.0,-1.332606167011095
2019-04-27,498.0,-0.4849198187353893
2019-04-28,453.0,-0.6547364772864234
2019-04-29,1209.0,-0.2575122631395674
2019-04-30,972.0,-0.7340302846630019
2019-05-01,852.0,-1.277716722924912
2019-05-02,888.0,-0.13853523225980474
2019-05-03,1206.0,-2.3346718017662136
2019-05-04,600.0,-1.71713310198132
2019-05-05,315.0,-0.5336088860085997
2019-05-06,918.0,-0.074437551669953
2019-05-07,966.0,-0.2127814553608541
2019-05-08,1176.0,-1.9078694436350356
2019-05-09,933.0,-1.0068077470962888
2019-05-10,864.0,-1.1446485785740976
2019-05-11,450.0,-1.3513003186417696
2019-05-12,402.0,-1.0360524725751916
2019-05-13,1527.0,-1.216393286193832
2019-05-14,1653.0,-0.8093315282736117
2019-05-15,1176.0,-0.47477659442869063
2019-05-16,1050.0,-1.7539851936775637
2019-05-17,1206.0,-1.5873283190776906
2019-05-18,519.0,-0.8439611420010998
2019-05-19,474.0,-0.5045962521383993
2019-05-20,828.0,-0.3602224840578796
2019-05-21,1197.0,-0.9720564243843834
2019-05-22,993.0,-0.7048342671843547
2019-05-23,1014.0,-0.6394628952801846
2019-05-24,1029.0,-0.2789701115534176
2019-05-25,528.0,-0.6012715114096242
2019-05-26,420.0,-0.5857995289947202
2019-05-27,747.0,-0.5378828796480953
2019-05-28,1131.0,-0.41767867493444116
2019-05-29,930.0,0.05403021009116624
2019-05-30,957.0,-0.1293542739776183
2019-05-31,885.0,-0.7187072307250959
2019-06-01,384.0,-0.7668460136521791
2019-06-02,237.0,-0.7650905636893885
2019-06-03,876.0,0.1746608994948616
2019-06-04,963.0,-0.5122791979059648
2019-06-05,945.0,-1.57765945368585
2019-06-06,936.0,-0.6467165159703125
2019-06-07,651.0,-0.6260417200223777
2019-06-08,285.0,-1.049984826231247
2019-06-09,273.0,-0.7352835499661277
2019-06-10,786.0,-0.5765428162123735
2019-06-11,957.0,-0.3554050656987823
2019-06-12,801.0,-0.011383952089622548
2019-06-13,1068.0,-0.6427954392789732
2019-06-14,1134.0,-1.1016295672491738
2019-06-15,444.0,-0.803986471582347
2019-06-16,339.0,-0.056007389521683645
2019-06-17,1119.0,-0.8170569920380785
2019-06-18,3201.0,-0.412957694113215
2019-06-19,2352.0,-0.6633856995388159
2019-06-20,2136.0,-1.2572827999557645
2019-06-21,1650.0,-1.0170037077729854
2019-06-22,675.0,-1.1014785504679638
2019-06-23,486.0,-1.2014741811772542
2019-06-24,1401.0,-1.2379516607008139
2019-06-25,1944.0,-0.9701220709836978
2019-06-26,1893.0,-1.0510852374813
2019-06-27,1596.0,-1.003012515917137
2019-06-28,1227.0,-1.4609350373724477
2019-06-29,603.0,-0.38184700322120435
